Name;City;Country;Address;Geonames ID;Geonames Coordinates;histomap; Institution;Source;Other;Spalte1
Gutmann, Rafael; Warschau; Polen; Pickna 41;756135;52.22977, 21.01178;; Verlag jiddischer und hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Gutwein, Ch.; Nowy Sacz Zalub; Klein-Polen; Buchhandlung;763534;49.62177, 20.69705;;;Adressbuch jüdischer Buchhandel;;
Hachason; Jerusalem; Palästina; Jaffastr. Machne Jehuda;281184;31.76904, 35.21633;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Hadar; Jerusalem; Palästina;;281184;31.76904, 35.21633;; Verlag palästinensischer Ansichtskarten;Adressbuch jüdischer Buchhandel; P.O.B. 94;
Haivri, Färber, Dr. R., Mähr; Ostrau; Tschechoslowakei; Cheleickygasse 7;3070328;49.84249, 18.26727;; KunstBuchhandlungsbuchhandlung;Adressbuch jüdischer Buchhandel;;
Haivri, Jadian, A.; Cheetam-Manchester; England; 22 Petworth Str;2643123;53.48095, -2.23743;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Hajeled; Berlin-Charlottenburg; Deutschland; Droysenstr. 6;2940187;52.51667, 13.28333;52.50143415369708, 13.300633008347107; Verlag hebräischer Kinderspiele;Adressbuch jüdischer Buchhandel;;
Haor; Warschau; Polen; Miodowa 5;756135;52.22977, 21.01178;; Verlag hebräischer und jiddischer Bücher;Adressbuch jüdischer Buchhandel;;
Hapoel Hazair; Tel-Awiw; Palästina;;293397;32.08088, 34.78057;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Harassowitz, Otto; Leipzig; Deutschland; Querstr. 14;2879139;51.33962, 12.37129;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Harz, Benjamin; Berlin NW87; Deutschland; Eyke von Repkow Platz 5;2950159;52.52437, 13.41053;52.51884296461604, 13.332375392107169; Verlag;Adressbuch jüdischer Buchhandel; Postscheckamt Berlin 38774. Commerz- und Privatbank. Dep-Kasse B;
Hasefer; London WC1; England; 14. Bury Street Great Russel Street;2643743;51.50853, -0.12574;; Buchhandlung;Adressbuch jüdischer Buchhandel;" Bank: Jewish Colonial Trust Wallbrook E.C.3. Auslieferung ""Mikra"", Eschkol ";
Hasefer, Steinberg; Bukarest; Rumänien; Karagheorghevici 9;683506;44.43225, 26.10626;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Hasefer; Jaffa, Jerusalem; Palästina; Road 314;293253;32.05043, 34.75224;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; P.O.B. 94;
Hatechija; Wien II; Oesterreich; Czerningasse 19;2761369;48.20849, 16.37208;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Hatikwah; Berlin-Halensee; Deutschland; Joachim-Friedrich-Straße 10a;2911559;52.49005, 13.29602;52.49611698692721, 13.296438929516333; Musikverlag;Adressbuch jüdischer Buchhandel;;
Hebrew Publishing Company; New York; U.S.A.; 632-634 Broadway;5128581;40.71427, -74.00597;; Verlag;Adressbuch jüdischer Buchhandel;;
Helischkowski, Siegfried; Halberstadt; Deutschland; Bakenstr. 53;2911665;51.89562, 11.05622;; Buchhandlung;Adressbuch jüdischer Buchhandel; Tel.: 776;
Hermon; Frankfurt a.M.; Deutschland; Schützenstraße 12;2925533;50.11552, 8.68417;; Verlag;Adressbuch jüdischer Buchhandel; Postscheckamt Frankfurt 57233. Bank: Effekten- und Wechselbank. Frankfurt a. M.  ;
Herzberg, J.; Cassel; Deutschland; Hohenzollernstraße 43;2892518;51.31667, 9.5;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Herzberger, Menno; Amsterdam; Holland; Singel 634;2759794;52.37403, 4.88969;;;Adressbuch jüdischer Buchhandel;;
Hickl, Max; Brünn; Tschechoslowakei; Adlergasse 9;3078610;49.19522, 16.60796;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Hirsch, B; Pittsburgh Pa.; U.S.A.; 1623 Centre Ave.;5206379;40.44062, -79.99589;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Hirschler & Co., L., D.; Wien I; Oesterreich; Rabensteig 6;2761369;48.20849, 16.37208;; Buchhandlung;Adressbuch jüdischer Buchhandel; Tel.: 63861 ;
Hirschmann, L.; Libau; Lettland; Helenenstr. 22;457954;56.50474, 21.01085;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Hofmann, A., J.; Frankfurt a.M.; Deutschland; Allerheiligenstraße 87;2925533;50.11552, 8.68417;; Buchhandlung, Verlag;Adressbuch jüdischer Buchhandel;;
Horodisch und Marx; Berlin-Wilmersdorf; Deutschland; Prinzregentenstr 7;2808473;52.48333, 13.31667;52.4915275941125, 13.333278442587089;;Adressbuch jüdischer Buchhandel;;
Horowitz, N; Berlin W; Deutschland; Kantstr. 104;2950159;52.52437, 13.41053;52.50657890183223, 13.303713833980215; Buchvertrieb;Adressbuch jüdischer Buchhandel;;
Hübner, Meier; Nadworna; Klein-Polen;;700507;48.63659, 24.5714;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Ikopo; Wilna; Polen; Pohulanka 18;593116;54.68916, 25.2798;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Indyckl; Bialystok; Polen; Rynek-Kosziuszki;776069;53.13333, 23.16433;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Israel; Firenze; Italien; Via S. Gallo 8;3176959;43.77925, 11.24626;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Israelitische Verlagsanstalt, G.m.b.H.; Stuttgart; Deutschland;;2825297;48.78232, 9.17702;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Ivria; Sofia; Bulgarien; Klementina 56;727011;42.69751, 23.32415;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jaczkowsky, Br.; Warschau; Polen; Gesia 7;756135;52.22977, 21.01178;; Verlag;Adressbuch jüdischer Buchhandel;;
Jakobsohn & M. Goldberg; Warschau; Polen; Dzika 23;756135;52.22977, 21.01178;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jakobsohn, M. & Co.; Tel-Awiw; Palästina; Herzl Street;293397;32.08088, 34.78057;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jalkut G.m.b.H.; Berlin-Charlottenburg; Deutschland; Kantstr. 46;2940187;52.51667, 13.28333;52.506656517665604, 13.311956523952638; Verlag;Adressbuch jüdischer Buchhandel;" Tel.-Adresse: Hebraica, Berlin. Postscheckkonto: 82830. Auslieferung durch Buchhandlung ""Jalkut"" Rubin Maß";
Jalkut Buchhandlung, Rubin Maß; Berlin-Charlottenburg; Deutschland; Kantstr. 46;2940187;52.51667, 13.28333;52.506656517665604, 13.311956523952638; Buchhandlung;Adressbuch jüdischer Buchhandel;" Tel-Adresse: Hebraica, Berlin. Postscheckkonto 15112. Vertrieb des Verlages ""Jalkut"" G.m.b.H. ";
Jankowitz, M.; New York; U.S.A.; 179 E. Brondway;5128581;40.71427, -74.00597;; Verlag jiddischer Bücher und Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jarkoni; Tiberias; Palästina;;293322;32.79221, 35.53124;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jehudia; Warschau; Polen; Chodna 8;756135;52.22977, 21.01178;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jeschurun; Warschau; Polen; Mylna 5;756135;52.22977, 21.01178;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jewish Publication Society of America; Philadelphia Pa.; U.S.A.; 1201 North Broad Str.;4560349;39.95238, -75.16362;; Verlag;Adressbuch jüdischer Buchhandel;;
Jewish University Library; Jerusalem; Palästina;;281184;31.76904, 35.21633;; Verlag der Schriften der hebräischen Universität;Adressbuch jüdischer Buchhandel;;
Jiddisch, Canadian Brench; Montreal; Canada; 834 Caieml-Str.;6077243;45.50884, -73.58781;; Buchhandlung, Verlag;Adressbuch jüdischer Buchhandel;;
Jidish Verlag; New York; U.S.A.; 201 E. Broadway;5128581;40.71427, -74.00597;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Joachimsthal, Gebr.; Amsterdam; Holland; Jodenbreetstr. 63;2759794;52.37403, 4.88969;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jochelson; Lodz; Polen; Piotrowska 26;3093133;51.77058, 19.47395;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jordan; Essen a.d.Ruhr; Deutschland; Turmstraße 6;2928810;51.45657, 7.01228;; Buchhandlung;Adressbuch jüdischer Buchhandel; Tel.: 9454;
Jüdische Arbeiterbuchhandlung; Berlin N24; Deutschland; Artilleriestr. 8;2950159;52.52437, 13.41053;52.52620920012593, 13.393446761900305; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jüdischer Literarischer Verlag; Berlin; Deutschland;;2950159;52.52437, 13.41053;; ;Adressbuch jüdischer Buchhandel;" "" Auslieferung durch """"Jalkut"""" """;
Jüdischer Literarischer Verlag; Lemberg; Galizien; Grodecka 3a;702550;49.83826, 24.02324;; Verlag jiddischer Bücher;Adressbuch jüdischer Buchhandel; Inh. Dr. Anselm Kleinmann;
Jüdischer Literaten- und Journalisten-Verein, Verlag des; Warschau; Polen; Tlomackie 13;756135;52.22977, 21.01178;; Verlag, Buchhandlung jiddischer Bücher;Adressbuch jüdischer Buchhandel;;
Jüdischer Verlag G.m.b.H.; Berlin NW7; Deutschland; Dorotheenstr. 35;2950159;52.52437, 13.41053;52.518124492042475, 13.378363350035448; Verlag;Adressbuch jüdischer Buchhandel;Postscheckamt Berlin 11595. Bankverbindung: Schwarz. Goldschmidt & Co. ;
Jüdischer Volksschriften-Verlag G.m.b.H.; Frankfurt a.M.; Deutschland; Schützenstr. 14;2925533;50.11552, 8.68417;; Verlag;Adressbuch jüdischer Buchhandel;;
Jung Jiddisch; Lodz; Polen; Zawadska 49;3093133;51.77058, 19.47395;; Verlag, Buchhandlung jiddischer Bücher;Adressbuch jüdischer Buchhandel;;
Jungmann, Wolf; Kreuzburg; Lettland; Gr. Gasse 135;459283;56.49903, 25.85735;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Jurowics, S; Berlin C; Deutschland; Kl. Präsidentenstr. 3;2950159;52.52437, 13.41053;52.522975665672206, 13.40126140563564; Buchhandlung;Adressbuch jüdischer Buchhandel; Tel.: Norden 8658. Postscherk 49114;
Juval, Verlagsges. für jüdische Musik G.m.b.H.; Berlin W15; Deutschland; Lietzenburger Str. 8a;2950159;52.52437, 13.41053;52.5007047166621, 13.345085850329653;;Adressbuch jüdischer Buchhandel; Bankverb.: Commerz- u. Privatbank. Tel.: Uhland 147. Postscheckkonto: Berlin 23459;
Kahan, Lazar; Lodz; Polen; Nawrot 7;3093133;51.77058, 19.47395;; Verlag jiddischer Bücher;Adressbuch jüdischer Buchhandel; Tel. 27-47  ;
Kahan, S.; Antwerpen; Belgien; Van Immerselstr. 5;2803138;51.22047, 4.40026;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kahana, Abr.; Tel-Awiw; Palästina;;293397;32.08088, 34.78057;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Kahn & Fried; Munkacevo; Tschechoslowakei;;700646;48.44248, 22.718;; Verlag, Buchhandlung hebr. Bücher;Adressbuch jüdischer Buchhandel;;
Kalk, Ch.; Poncwiez; Litauen; Republikstr. 19;596128;55.73333, 24.35;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kanel, H.; Wiesbaden; Deutschland; Geisbergstr. 14;2809346;50.08258, 8.24932;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kaplansky, N.; Buenos Aires; Argentinien; Corrientes 2614;3435910;-34.61315, -58.37723;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Katzenellenbogen; Wilna; Polen; Jewrejskaja 1;593116;54.68916, 25.2798;; Buchhandlung, Verlag;Adressbuch jüdischer Buchhandel;;
Kauffmann, J.; Frankfurt a.M.; Deutschland; Schillerstr. 19;2925533;50.11552, 8.68417;; Buchhandlung, Verlag;Adressbuch jüdischer Buchhandel; Hansa 22. Postscheckamt: 39. Bankverbindung: S. Merzbach. Offenbach a. M. ;
Kaufmann, M. W; Leipzig; Deutschland; Brühl 8;2879139;51.33962, 12.37129;; Verlag;Adressbuch jüdischer Buchhandel; Bankverb.: Dresdner Bank. Postscheckamt: Leipzig 51673;
Kedem; Berlin-Charlottenburg; Deutschland; Dahlmannstraße 8;2940187;52.51667, 13.28333;52.501873838385, 13.304359544254577; Buchhandlung;Adressbuch jüdischer Buchhandel; Bankverb.: Diskonto-Gesellschaft, Kurfürstendamm 163/104. Postscheckamt: Berlin 109 519;
Kitzur Hatalmud Publication Co.; New York; U.S.A.; 124 Fifth Ave.;5128581;40.71427, -74.00597;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Klat-Verlag; Berlin W15; Deutschland; Lietzenburger Str. 8a;2950159;52.52437, 13.41053;52.5007047166621, 13.345085850329653;;Adressbuch jüdischer Buchhandel; Bankverb.: Commerz- u. Privatbank. Uhlandstr. 47. ;
Klein, Leo; Kosice; Tschechoslowakei; Srobarowa ul. 1;724443;48.71395, 21.25808;;  ;Adressbuch jüdischer Buchhandel;;
Kletzkin, B; Wilna; Polen; M. Stefanska 23;593116;54.68916, 25.2798;; Verlag, Buchhandlung jiddischer Bücher;Adressbuch jüdischer Buchhandel; Warschau. Leszno 36 m. 22 ;
Kogan, Akim; Baku; Kaukasien; Parapet 8;587084;40.37767, 49.89201;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kohelet; Jaffa/Tel-Awiw; Palästina;;293253;32.05043, 34.75224;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Kohn, Dr. Gustav; Troppau; Tschechoslowakei;;3068927;49.93866, 17.90257;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kolodny, M.; Pinsk; Polen;;623549;52.1229, 26.0951;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kommatz; Leningrad; Rußland;;498817;59.93863, 30.31413;; Verlag jiddischer Bücher;Adressbuch jüdischer Buchhandel;;
Kosmos; Sosnowice; Polen; 3 go Maja 10;3085130;49.93995, 19.71514;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kozak, L.; Warschau; Polen; Nalewki 5;756135;52.22977, 21.01178;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kramer, George; Hamburg 13; Deutschland; Grindelallee 115;2911298;53.55073, 9.99302;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kraemer, Librarie; Czernowitz; Rumänien; Musikvereinsgebäude;3078016;49.18232, 16.63716;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Krougliakoff; Jaffa; Palästina;;293253;32.05043, 34.75224;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Krougliakoff und Karlin; Jerusalem; Palästina; Jaffa Street;281184;31.76904, 35.21633;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kultur; Dorpat; Estland; Kühnstraße 6;588335;58.38062, 26.72509;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kultur; Kowno; Litauen; Prezidento g-ve 15;598316;54.90272, 23.90961;; Buchhandlung, Verlag;Adressbuch jüdischer Buchhandel;;
Kultura; Warschau; Polen; Dzika 13;756135;52.22977, 21.01178;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kultur-Liga; Bialystok; Polen; Warszawska 57;776069;53.13333, 23.16433;; Verlag;Adressbuch jüdischer Buchhandel;;
Kultur-Liga; Kiew; Rußland; Wassylkowskaja 43;703448;50.45466, 30.5238;; Verlag;Adressbuch jüdischer Buchhandel;;
Kultur-Liga; Kowno; Litauen; Petrogasse 24;598316;54.90272, 23.90961;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kultur- Liga; Warschau; Polen; Lezno 49 m. 44;756135;52.22977, 21.01178;; Verlag und Buchhandlong jiddischer Bücher ;Adressbuch jüdischer Buchhandel;;
Kupath Hasefer; Tel-Awiw; Palästina;;293397;32.08088, 34.78057;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Kwall; Wien II; Oesterreich; Taborstraße 7;2761369;48.20849, 16.37208;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; J. Blumenfeld. Postscheckamt: Wien 144451;
Lambig, B.; Hamburg 13; Deutschland; Rutschbahn 39;2911298;53.55073, 9.99302;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Lamm, Louis; Berlin C2; Deutschland; Neue Friedrichstr. 61/63;2950159;52.52437, 13.41053;52.52169404956716, 13.40435845382861; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; Postscheckamt: Berlin 7136 ;
Langer, Jacobo; Moises Ville; Argentinien; F.C.S.F.;3844053;-30.71495, -61.47029;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Levenberg, V.; Riga; Lettland; Marstaju iela 1;456172;56.946, 24.10589;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Levenson’s Book Store; Chicago III; U.S.A.; 3308 W. Roosevelt Road;4887398;41.85003, -87.65005;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Levtow; Balti; Rumänien; Regele Ferdinand;618605;47.76314, 27.92932;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Lewin-Epstein; Warschau; Polen; Gesia 5;756135;52.22977, 21.01178;; Verlag spez. Religionsliteratur;Adressbuch jüdischer Buchhandel; Postscheckamt: Warschau 3276; 
Licht, Knygygos; Kowno; Litauen; Prezidento g-ve 2;598316;54.90272, 23.90961;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Lichtenfeld, Salomon; Bratislava; Tschechoslowakei; Kapuzinergasse 2;3060972;48.14816, 17.10674;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Lichtman, Boas.; Newark New York; U.S.A.; 496 Hawelhorne Ave.;5128581;40.71427, -74.00597;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Lidskis, N.; Kowno; Litauen; Moironic g-ve 14;598316;54.90272, 23.90961;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Liebschütz, N.; Louisville Ky.; U.S.A.; 226 W. Jefferson Street;4299276;38.25424, -85.75941;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Lifszys, L.; Bialystok; Polen; Lipowa 1;776069;53.13333, 23.16433;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Likkermann, M.; New York; U.S.A.; 101 Ave B.;5128581;40.71427, -74.00597;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Limud; Warschau; Polen; Nowolipki 20;756135;52.22977, 21.01178;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Lipschütz, M.; Paris; Frankreich; 28 Rue Lamartine;2988507;48.85341, 2.3488;; Buchhandlung;Adressbuch jüdischer Buchhandel; Postscheckamt: Paris 23372;
Literatur Fond; Warschau; Polen; Tlomackie 13;756135;52.22977, 21.01178;; Verlag, Buchhandlung jiddischer Bücher;Adressbuch jüdischer Buchhandel;;
Literatura; Kowno; Litauen; Laisvés Aléja 54;598316;54.90272, 23.90961;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;" Auslieferung des Verlages ""Dwir-Mikra"" für Litauen";
Londoner Bücherstube; Hannover; Deutschland; Nordfelder Reihe 3;2910831;52.37052, 9.73322;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Löwit, R.; Wien I; Oesterreich; Fleischmarkt 1;2761369;48.20849, 16.37208;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; Postscheckamt: Berlin 52050;
Lubitz, S.; Pittsburgh Pa.; U.S.A.; 1320 Hazel Street;5206379;40.44062, -79.99589;; Buchhandlung hebr. Bücher;Adressbuch jüdischer Buchhandel;;
Lustig, Samuel; Lwow; Klein-Polen; Zamarstynow 1;702550;49.83826, 24.02324;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Magenza; Mainz; Deutschland; Heidelherger-Faß-Gasse 18;2874225;49.98419, 8.2791;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Maisel, Max; New York; U.S.A.; 424 Grand Str.;5128581;40.71427, -74.00597;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Malerman’s Literary Publishing Co.; Philadelphia Pa.; U.S.A.; 504 Pine Street;4560349;39.95238, -75.16362;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Marcus, S.; Harburg a.d.E.; Deutschland; Bremer Straße 58;2910685;53.46057, 9.98388;; Buchhandlung, Verlag;Adressbuch jüdischer Buchhandel; Postscheckamt: Hamburg 13377;
Margulies; Lwow; Klein-Polen; Kazimierzowska 35;702550;49.83826, 24.02324;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Mase, N.; Wilna; Polen; Rudnicka 23;593116;54.68916, 25.2798;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Mazin, R. & Co.; London E1; England; 139/141 Whitechapel Road;2643743;51.50853, -0.12574;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
